Date,Price,Open,High,Low,Vol.,Change %
2013-03-01,140.74,139.89,140.9,139.17,6.51M,0.33%
2013-02-28,140.28,140.45,141.31,140.18,11.40M,-0.23%
2013-02-27,140.6,138.74,140.87,138.64,7.41M,1.31%
2013-02-26,138.78,138.35,138.96,137.98,9.24M,0.81%
2013-02-25,137.66,140.33,140.59,137.6,10.03M,-1.54%
2013-02-22,139.81,139.24,139.83,138.86,4.16M,0.94%
2013-02-21,138.51,138.65,138.88,138.06,7.52M,-0.27%
2013-02-20,138.88,140.0,140.28,138.88,5.98M,-0.78%
2013-02-15,139.45,139.51,139.71,138.75,6.11M,-0.29%
2013-02-14,139.86,139.38,139.96,139.26,3.05M,-0.01%
2013-02-13,139.87,140.23,140.36,139.5,3.39M,-0.13%
2013-02-12,140.05,139.59,140.21,139.51,3.50M,0.38%
2013-02-11,139.52,139.62,139.68,139.21,2.54M,-0.15%
2013-02-08,139.73,139.37,140.03,139.37,3.57M,0.32%
2013-02-07,139.29,139.59,139.64,138.32,6.64M,-0.21%
2013-02-06,139.58,138.88,139.7,138.88,3.12M,0.14%
2013-02-05,139.39,139.24,139.85,139.21,5.82M,0.59%
2013-02-04,138.57,138.81,138.98,138.36,6.54M,-0.84%
2013-02-01,139.74,139.29,139.89,139.04,5.24M,0.96%
2013-01-31,138.41,138.76,140.22,138.32,3.94M,-0.25%
2013-01-30,138.76,139.23,139.37,138.67,5.50M,-0.34%
2013-01-29,139.23,138.44,139.38,138.44,3.95M,0.42%
2013-01-28,138.65,138.85,138.88,138.3,3.17M,0.02%
2013-01-25,138.62,138.39,138.63,138.04,4.46M,0.43%
2013-01-24,138.02,137.59,138.49,137.57,6.29M,0.41%
2013-01-23,137.46,137.19,137.63,137.14,6.40M,0.53%
2013-01-18,136.09,135.81,136.16,135.42,4.92M,0.19%
2013-01-17,135.83,135.37,136.19,135.23,6.23M,0.70%
2013-01-16,134.89,134.62,135.05,134.54,3.20M,-0.14%
2013-01-15,135.08,134.29,135.26,134.24,2.97M,0.14%
2013-01-14,134.89,134.66,135.0,134.4,4.30M,0.13%
2013-01-11,134.72,134.46,134.8,134.21,4.51M,0.13%
2013-01-10,134.54,134.2,134.58,133.62,6.00M,0.62%
2013-01-09,133.71,133.4,133.98,133.4,3.90M,0.49%
2013-01-08,133.06,133.32,133.5,132.74,4.27M,-0.34%
2013-01-07,133.51,133.69,133.73,133.16,6.12M,-0.41%
2013-01-04,134.06,133.7,134.2,133.49,4.76M,0.32%
2013-01-03,133.63,133.64,134.05,133.31,8.67M,-0.10%
2013-01-02,133.77,132.99,133.86,132.89,9.64M,2.44%
2012-12-31,130.58,128.66,130.9,128.54,12.07M,1.17%
2012-12-28,129.07,129.82,130.45,128.97,8.57M,-1.17%
2012-12-27,130.6,130.94,131.14,129.34,8.31M,-0.16%
2012-12-26,130.81,131.29,131.48,130.47,3.98M,-0.12%
2012-12-24,130.97,131.29,131.42,130.97,2.00M,-0.62%
2012-12-21,131.79,131.06,132.02,130.83,11.50M,-1.05%
2012-12-20,133.19,132.57,133.28,132.27,5.54M,0.43%
2012-12-19,132.62,133.67,133.7,132.6,5.51M,-0.70%
2012-12-18,133.55,132.68,133.73,132.38,6.46M,0.84%
2012-12-17,132.44,131.65,132.52,131.63,4.53M,0.75%
2012-12-14,131.46,131.7,132.0,131.26,3.11M,-0.27%
2012-12-13,131.82,132.53,132.72,131.55,3.84M,-0.52%
2012-12-12,132.51,132.98,133.34,132.33,9.55M,0.01%
2012-12-11,132.5,132.21,133.12,132.18,4.01M,0.58%
2012-12-10,131.74,131.59,132.0,131.57,3.48M,0.14%
2012-12-07,131.56,131.3,131.61,130.82,3.99M,0.63%
2012-12-06,130.74,130.34,130.8,130.09,4.13M,0.38%
2012-12-05,130.24,129.71,130.82,129.16,8.70M,0.66%
2012-12-04,129.39,129.61,130.14,129.3,5.76M,-0.12%
2012-12-03,129.55,130.69,130.8,129.49,5.82M,-0.42%
2012-11-30,130.1,130.25,130.46,129.78,4.98M,-0.03%
2012-11-29,130.14,130.23,130.54,129.51,6.11M,0.39%
2012-11-28,129.64,128.17,129.75,127.47,7.40M,0.75%
2012-11-27,128.68,129.18,129.65,128.51,4.92M,-0.65%
2012-11-26,129.52,129.12,129.52,128.79,4.62M,-0.28%
2012-11-21,128.15,127.65,128.22,127.54,4.59M,0.34%
2012-11-20,127.71,127.31,127.87,126.75,7.02M,0.06%
2012-11-19,127.63,126.63,127.68,126.51,9.55M,1.62%
2012-11-16,125.6,125.25,125.77,124.42,9.35M,0.07%
2012-11-15,125.51,125.57,126.05,125.01,7.66M,-0.20%
2012-11-14,125.76,127.82,128.04,125.46,9.48M,-1.39%
2012-11-13,127.53,127.41,128.92,127.33,5.41M,-0.40%
2012-11-09,127.92,127.36,128.79,127.28,6.57M,-0.05%
2012-11-08,127.99,129.18,129.68,127.99,8.43M,-0.97%
2012-11-07,129.25,131.05,131.05,128.65,18.65M,-2.12%
2012-11-06,132.05,131.28,132.63,131.2,4.41M,0.90%
2012-11-05,130.87,130.46,131.13,130.11,2.71M,0.15%
2012-11-02,130.67,132.56,132.61,130.47,5.14M,-0.99%
2012-11-01,131.98,131.02,132.44,130.97,3.81M,1.06%
2012-10-31,130.6,131.35,131.59,130.23,3.94M,-0.15%
2012-10-26,130.79,130.68,131.22,130.09,4.18M,0.01%
2012-10-25,130.78,131.19,131.35,130.09,6.31M,0.21%
2012-10-24,130.5,131.0,131.25,130.34,6.10M,-0.18%
2012-10-23,130.74,131.6,131.63,130.53,8.96M,-1.77%
2012-10-22,133.1,132.93,133.39,132.04,5.59M,-0.01%
2012-10-19,133.11,134.8,134.8,132.81,10.44M,-1.66%
2012-10-18,135.36,135.26,135.77,135.0,6.31M,-0.05%
2012-10-17,135.43,134.95,135.46,134.85,3.82M,0.10%
2012-10-16,135.3,134.65,135.36,134.57,5.46M,0.96%
2012-10-15,134.02,133.34,134.19,133.06,2.64M,0.67%
2012-10-12,133.13,133.26,133.83,132.75,3.27M,0.00%
2012-10-11,133.13,133.91,134.1,133.08,3.67M,-0.11%
2012-10-10,133.28,134.4,134.45,133.07,10.14M,-0.97%
2012-10-09,134.59,135.42,135.74,134.55,6.04M,-0.78%
2012-10-05,135.96,136.09,136.44,135.48,4.56M,0.32%
2012-10-04,135.52,135.15,135.71,134.96,3.91M,0.62%
2012-10-03,134.68,134.75,135.11,134.1,3.32M,0.15%
2012-10-02,134.48,135.11,135.38,133.94,6.27M,-0.22%
2012-10-01,134.78,134.62,135.69,134.53,4.86M,0.54%
2012-09-28,134.05,133.92,134.48,133.36,4.57M,-0.41%
2012-09-27,134.6,134.44,134.94,133.85,4.98M,0.52%
2012-09-26,133.9,134.37,134.51,133.74,5.45M,-0.33%
2012-09-25,134.34,135.53,135.9,134.28,6.29M,-0.72%
2012-09-24,135.32,134.92,135.73,134.88,2.71M,-0.11%
2012-09-21,135.47,136.21,136.24,135.4,5.32M,-0.35%
2012-09-20,135.95,135.2,135.98,135.0,6.95M,0.16%
2012-09-19,135.73,135.85,136.24,135.55,3.08M,0.09%
2012-09-18,135.61,135.15,135.79,135.15,3.38M,0.06%
2012-09-17,135.53,135.57,135.88,135.24,2.61M,-0.24%
2012-09-14,135.86,135.62,136.48,135.41,5.19M,0.35%
2012-09-13,135.39,133.27,135.71,133.21,6.98M,1.51%
2012-09-12,133.37,133.46,133.65,133.08,1.95M,0.21%
2012-09-11,133.09,132.6,133.45,132.59,2.82M,0.46%
2012-09-10,132.48,132.77,133.16,132.42,2.30M,-0.35%
2012-09-07,132.94,132.89,133.09,132.57,4.83M,0.09%
2012-09-06,132.82,131.16,132.83,131.16,5.56M,1.88%
2012-09-05,130.37,130.37,130.83,130.04,2.83M,0.11%
2012-08-31,130.88,130.64,131.4,130.04,5.45M,0.74%
2012-08-30,129.92,130.38,130.39,129.65,4.12M,-0.76%
2012-08-29,130.92,130.87,131.28,130.63,2.40M,0.05%
2012-08-28,130.86,130.75,131.3,130.6,3.03M,-0.15%
2012-08-27,131.06,131.42,131.57,130.95,1.81M,-0.24%
2012-08-24,131.38,130.21,131.56,130.06,4.20M,0.77%
2012-08-23,130.38,131.26,131.29,130.2,4.16M,-0.83%
2012-08-22,131.47,131.57,131.8,130.94,4.50M,-0.23%
2012-08-21,131.77,132.57,133.02,131.57,4.09M,-0.46%
2012-08-20,132.38,132.19,132.47,131.99,2.27M,-0.03%
2012-08-17,132.42,132.49,132.52,132.15,3.75M,-0.11%
2012-08-16,132.57,131.77,132.75,131.5,5.34M,0.65%
2012-08-15,131.72,131.51,131.99,131.44,2.84M,0.05%
2012-08-14,131.66,132.05,132.16,131.32,3.42M,0.03%
2012-08-13,131.62,131.74,131.9,131.02,3.99M,-0.23%
2012-08-10,131.93,131.15,131.95,130.79,4.41M,0.27%
2012-08-09,131.57,131.5,131.87,131.11,3.36M,0.02%
2012-08-08,131.55,130.94,131.84,130.89,3.00M,0.13%
2012-08-07,131.38,131.32,131.89,131.29,3.59M,0.37%
2012-08-06,130.9,130.94,131.61,130.88,4.57M,0.13%
2012-08-03,130.73,130.06,131.07,129.88,7.77M,1.70%
2012-08-02,128.54,128.66,129.29,127.51,10.92M,-0.70%
2012-08-01,129.45,130.47,130.5,129.18,5.77M,-0.19%
2012-07-31,129.69,130.25,130.53,129.69,4.78M,-0.54%
2012-07-30,130.4,130.31,130.99,130.12,4.24M,-0.11%
2012-07-27,130.54,129.02,130.89,128.98,7.46M,1.52%
2012-07-26,128.58,128.17,129.03,127.93,8.07M,1.64%
2012-07-25,126.51,126.6,127.04,126.0,3.87M,0.52%
2012-07-24,125.86,126.93,127.01,124.94,7.08M,-0.83%
2012-07-23,126.91,126.02,127.18,125.53,4.66M,-0.88%
2012-07-20,128.04,128.35,128.66,127.81,7.44M,-0.99%
2012-07-19,129.32,129.27,129.71,128.81,3.85M,0.28%
2012-07-18,128.96,127.49,129.15,127.43,3.10M,0.89%
2012-07-17,127.82,127.53,128.15,126.29,3.33M,0.55%
2012-07-16,127.12,127.25,127.51,126.75,1.99M,-0.39%
2012-07-13,127.62,125.92,127.71,125.86,3.94M,1.63%
2012-07-12,125.57,125.21,126.16,124.77,4.41M,-0.27%
2012-07-11,125.91,126.43,126.49,125.19,6.84M,-0.35%
2012-07-10,126.35,127.96,128.14,125.91,6.73M,-0.70%
